,First_pokemon,Second_pokemon,Winner
833,364,139,139
834,342,235,235
835,669,161,669
836,107,441,441
837,2,359,359
838,336,454,454
839,260,234,234
840,487,222,487
841,43,248,248
842,470,162,470
843,637,208,208
844,147,362,362
845,519,629,629
846,308,445,445
847,417,479,417
848,697,669,697
849,483,214,483
850,414,239,239
851,509,719,509
852,133,136,136
853,282,266,282
854,521,490,490
855,74,64,74
856,164,465,164
857,135,567,135
858,253,278,253
859,559,250,250
860,607,293,293
861,479,683,479
862,438,475,475
863,352,147,147
864,43,574,574
865,716,339,716
866,85,428,428
867,512,322,512
868,382,122,122
869,272,538,272
870,700,298,700
871,352,298,352
872,471,467,467
873,356,678,678
874,636,90,636
875,424,271,424
876,605,719,719
877,581,558,581
878,404,638,638
879,523,404,523
880,228,6,6
881,553,576,553
882,11,167,167
883,562,62,62
884,258,648,648
885,152,690,152
886,144,130,144
887,160,635,635
888,714,78,78
889,48,198,198
890,44,370,44
891,525,415,525
892,613,313,313
893,336,358,358
894,24,182,24
895,370,367,367
896,565,158,158
897,609,360,609
898,327,595,595
899,108,643,643
900,592,150,592
901,79,344,79
902,637,408,637
903,394,554,554
904,370,484,484
905,543,130,130
906,213,193,193
907,395,308,308
908,107,713,107
909,281,681,681
910,34,209,34
911,462,541,462
912,567,67,567
913,201,566,566
914,241,18,18
915,552,174,552
916,536,353,536
917,495,620,620
918,150,463,150
919,695,360,695
920,444,345,444
921,310,413,310
922,41,646,646
923,557,405,405
924,96,538,538
925,630,116,630
926,67,631,631
927,39,290,290
928,535,699,535
929,534,358,358
930,94,48,94
931,673,604,673
932,313,371,313
933,392,543,392
934,102,270,102
935,420,312,312
936,475,717,717
937,461,413,461
938,383,543,383
939,350,479,479
940,268,227,227
941,532,305,305
942,321,635,635
943,468,169,169
944,453,384,384
945,16,541,16
946,313,560,313
947,208,211,211
948,147,323,147
949,441,18,18
950,145,253,145
951,376,466,376
952,130,480,480
953,252,694,694
954,89,639,639
955,542,406,542
956,462,578,462
957,484,554,484
958,57,363,57
959,614,130,130
960,253,554,554
961,715,448,715
962,526,681,681
963,445,440,445
964,257,76,257
965,267,48,267
966,66,377,377
967,478,597,478
968,212,612,612
969,409,478,478
970,600,349,600
971,416,681,681
972,512,94,94
973,197,214,214
974,531,92,92
975,422,238,238
976,651,224,651
977,348,710,710
978,144,473,144
979,1,625,625
980,343,277,277
981,603,507,507
982,713,115,115
983,324,390,390
984,647,396,647
985,377,663,377
986,200,180,200
987,468,638,638
988,176,107,107
989,210,513,513
990,76,673,673
991,599,334,334
992,696,11,696
993,507,201,507
994,254,557,254
995,338,25,25
996,150,422,150
997,634,516,516
998,150,122,150
999,446,294,446
1000,614,553,553
1001,150,130,150
1002,577,502,502
1003,127,214,127
1004,260,376,376
1005,210,26,26
1006,545,328,545
1007,386,342,386
1008,262,16,262
1009,721,382,382
1010,448,183,448
1011,198,347,198
1012,617,86,617
1013,541,138,541
1014,150,613,150
1015,622,419,419
1016,335,343,335
1017,127,141,127
1018,675,229,229
1019,260,308,308
1020,259,264,264
1021,645,584,645
1022,592,50,50
1023,1,497,497
1024,485,691,485
1025,120,311,311
1026,59,471,59
1027,160,503,160
1028,144,19,144
1029,283,101,101
1030,98,197,197
1031,138,648,648
1032,4,108,4
1033,158,516,516
1034,272,375,272
1035,679,620,620
1036,261,38,38
1037,445,351,445
1038,25,630,25
1039,595,366,595
1040,434,616,434
1041,339,546,546
1042,665,655,655
1043,248,395,248
1044,177,16,177
1045,56,516,516
1046,336,401,336
1047,314,298,314
1048,275,373,373
1049,627,127,127
1050,384,76,384
1051,3,282,282
1052,48,413,48
1053,648,162,648
1054,109,670,670
1055,319,3,319
1056,300,275,275
1057,302,370,370
1058,442,580,580
1059,692,441,441
1060,632,505,632
1061,183,213,183
1062,12,49,49
1063,405,537,537
1064,46,5,5
1065,711,385,385
1066,435,405,435
1067,93,466,466
1068,229,719,229
1069,608,121,121
1070,647,66,647
1071,712,143,143
1072,319,679,319
1073,492,701,701
1074,335,314,335
1075,214,369,214
1076,381,143,381
1077,94,417,94
1078,521,275,521
1079,674,381,381
1080,156,409,409
1081,130,502,130
1082,594,31,31
1083,618,652,652
1084,330,475,475
1085,407,501,407
1086,314,158,314
1087,474,639,639
1088,473,74,473
1089,333,225,225
1090,271,266,271
1091,282,104,282
1092,534,365,365
1093,490,539,490
1094,224,181,181
1095,641,384,641
1096,527,413,413
1097,75,256,256
1098,523,487,523
1099,381,359,359
1100,121,461,461
1101,342,454,454
1102,193,106,193
1103,199,540,540
1104,452,600,600
1105,144,72,144
1106,450,628,628
1107,136,97,97
1108,609,649,649
1109,577,256,256
1110,306,707,707
1111,195,445,445
1112,689,361,689
1113,505,555,555
1114,648,272,648
1115,3,717,717
1116,711,202,711
1117,399,693,693
1118,292,94,94
1119,242,711,711
1120,2,642,642
1121,373,193,373
1122,536,620,620
1123,668,639,639
1124,281,147,147
1125,576,285,576
1126,57,385,385
1127,614,322,614
1128,408,49,49
1129,356,393,393
1130,290,106,106
1131,332,278,332
1132,719,104,719
1133,461,149,461
1134,179,692,692
1135,7,145,145
1136,683,388,388
1137,212,55,55
1138,630,195,630
1139,220,35,220
1140,120,209,209
1141,234,144,144
1142,613,374,613
1143,279,509,509
1144,413,503,503
1145,507,330,330
1146,488,613,488
1147,169,47,169
1148,44,414,414
1149,596,209,596
1150,272,308,308
1151,386,154,386
1152,498,385,385
1153,411,246,246
1154,65,181,65
1155,592,666,666
1156,95,175,95
1157,438,343,343
1158,485,569,485
1159,688,64,64
1160,65,167,65
1161,334,115,115
1162,393,471,471
1163,98,646,646
1164,235,274,235
1165,62,559,62
1166,226,339,226
1167,721,161,721
1168,448,124,124
1169,63,335,335
1170,94,348,94
1171,23,201,23
1172,633,327,327
1173,59,383,59
1174,115,200,200
1175,424,410,424
1176,334,244,244
1177,306,247,247
1178,150,437,150
1179,394,383,383
1180,334,643,643
1181,306,205,306
1182,646,159,646
1183,657,704,657
1184,150,144,150
1185,429,80,429
1186,548,497,497
1187,383,310,383
1188,689,693,689
1189,616,339,339
1190,302,33,33
1191,230,630,230
1192,355,186,186
1193,714,700,700
1194,573,635,573
1195,452,546,452
1196,391,4,391
1197,313,403,313
1198,382,130,382
1199,641,91,641
1200,499,257,257
1201,479,310,310
1202,332,694,694
1203,530,130,530
1204,301,648,648
1205,265,173,265
1206,480,46,480
1207,475,490,475
1208,503,186,186
1209,580,359,359
1210,152,470,470
1211,117,321,117
1212,587,406,587
1213,160,268,160
1214,589,288,589
1215,680,686,686
1216,146,373,373
1217,675,476,675
1218,58,141,141
1219,592,150,592
1220,702,644,702
1221,5,380,380
1222,521,373,373
1223,84,304,304
1224,246,280,246
1225,641,166,641
1226,314,143,143
1227,648,394,648
1228,75,88,75
1229,284,661,661
1230,83,320,320
1231,621,316,621
1232,153,367,153
1233,298,479,479
1234,147,189,189
1235,402,188,188
1236,115,96,115
1237,472,296,472
1238,540,637,637
1239,260,209,260
1240,270,281,281
1241,440,448,448
1242,512,245,512
1243,22,489,22
1244,229,579,229
1245,709,264,264
1246,142,460,142
1247,643,208,643
1248,212,128,128
1249,420,492,492
1250,18,51,18
1251,523,553,553
1252,441,484,484
1253,554,28,28
1254,592,324,324
1255,688,397,397
1256,625,370,625
1257,585,678,678
1258,487,166,487
1259,500,539,539
1260,569,386,386
1261,403,632,632
1262,450,407,407
1263,617,284,617
1264,585,507,585
1265,580,543,543
1266,525,686,686
1267,365,497,497
1268,643,706,643
1269,7,80,7
1270,413,519,519
1271,200,424,424
1272,621,147,147
1273,534,619,619
1274,433,520,520
1275,712,164,164
1276,142,295,142
1277,209,94,94
1278,476,2,2
1279,214,65,214
1280,200,457,457
1281,583,379,583
1282,373,101,101
1283,123,516,123
1284,569,555,555
1285,490,146,490
1286,385,325,385
1287,688,366,688
1288,565,425,565
1289,367,315,315
1290,98,590,98
1291,443,200,200
1292,192,627,627
1293,6,594,6
1294,666,657,657
1295,499,255,499
1296,44,422,44
1297,508,323,508
1298,38,11,38
1299,442,374,442
1300,596,689,596
1301,460,428,460
1302,285,127,127
1303,644,689,644
1304,460,676,676
1305,445,149,149
1306,661,479,479
1307,174,29,29
1308,391,546,391
1309,607,278,278
1310,314,140,314
1311,143,714,143
1312,505,32,505
1313,314,303,314
1314,570,454,454
1315,120,521,521
1316,648,653,648
1317,587,279,587
1318,334,165,334
1319,578,15,15
1320,153,255,153
1321,629,645,645
1322,12,33,12
1323,620,307,620
1324,457,150,150
1325,233,403,233
1326,12,321,12
1327,705,214,214
1328,214,511,214
1329,115,498,115
1330,398,589,398
1331,694,516,516
1332,407,215,215
1333,14,564,564
1334,665,364,364
1335,573,79,573
1336,557,89,557
1337,202,467,467
1338,203,598,598
1339,164,528,528
1340,436,548,548
1341,301,239,239
1342,327,473,473
1343,367,615,615
1344,575,104,575
1345,428,308,428
1346,461,710,461
1347,351,602,351
1348,203,67,203
1349,623,128,128
1350,122,159,122
1351,121,687,121
1352,275,311,311
1353,257,479,479
1354,360,507,507
1355,122,179,122
1356,398,261,398
1357,459,126,126
1358,504,641,641
1359,200,93,93
1360,693,45,693
1361,78,247,78
1362,332,325,325
1363,363,480,480
1364,511,660,660
1365,514,201,514
1366,421,30,421
1367,127,436,127
1368,402,223,223
1369,137,42,42
1370,672,112,672
1371,541,22,22
1372,643,280,643
1373,460,605,460
1374,285,421,421
1375,182,213,182
1376,87,400,400
1377,268,620,620
1378,262,301,301
1379,432,490,432
1380,224,344,344
1381,186,451,186
1382,306,52,306
1383,48,225,225
1384,652,669,652
1385,527,51,51
1386,362,358,362
1387,409,504,409
1388,474,350,474
1389,380,696,380
1390,678,578,678
1391,608,9,9
1392,503,254,254
1393,685,509,685
1394,409,469,469
1395,46,505,505
1396,671,74,671
1397,439,264,264
1398,394,393,394
1399,231,155,155
1400,711,274,274
1401,674,226,226
1402,166,646,646
1403,638,418,638
1404,479,177,479
1405,298,199,199
1406,376,518,376
1407,319,219,319
1408,513,52,52
1409,603,92,603
1410,542,382,542
1411,32,372,372
1412,127,481,127
1413,428,108,428
1414,284,447,447
1415,127,207,207
1416,28,474,474
1417,224,659,659
1418,418,342,418
1419,706,200,200
1420,654,657,657
1421,1,695,695
1422,606,500,500
1423,329,429,429
1424,546,313,313
1425,539,614,539
1426,383,667,383
1427,414,154,154
1428,401,341,341
1429,367,229,229
1430,403,465,465
1431,583,413,583
1432,554,530,530
1433,231,481,481
1434,50,127,127
1435,382,350,382
1436,419,455,419
1437,523,92,523
1438,243,303,243
1439,364,198,198
1440,600,106,106
1441,50,594,594
1442,499,312,499
1443,492,349,492
1444,703,632,632
1445,587,13,587
1446,303,437,303
1447,200,524,200
1448,677,245,245
1449,708,419,419
1450,53,719,53
1451,274,299,274
1452,651,607,651
1453,649,613,649
1454,484,157,157
1455,309,443,309
1456,115,171,115
1457,258,713,258
1458,466,705,466
1459,385,359,385
1460,665,20,20
1461,105,211,211
1462,282,428,428
1463,699,494,494
1464,468,338,468
1465,519,617,617
1466,657,42,657
1467,37,24,24
1468,10,551,551
1469,18,2,18
1470,691,95,95
1471,353,499,499
1472,212,111,212
1473,608,159,159
1474,711,526,711
1475,200,381,381
1476,386,435,386
1477,362,282,282
1478,209,116,116
1479,411,540,540
1480,336,57,57
1481,354,114,354
1482,16,466,466
1483,594,349,594
1484,201,230,230
1485,643,164,643
1486,640,410,640
1487,221,497,497
1488,56,142,142
1489,77,70,77
1490,560,672,560
1491,145,505,145
1492,145,589,589
1493,153,592,592
1494,475,218,475
1495,32,272,272
1496,195,13,195
1497,231,204,231
1498,563,257,257
1499,104,538,538
1500,47,303,303
1501,707,450,707
1502,124,215,215
1503,157,706,157
1504,11,233,233
1505,99,517,99
1506,553,321,553
1507,2,536,536
1508,131,413,131
1509,564,280,564
1510,291,130,291
1511,302,563,563
1512,259,479,479
1513,612,157,157
1514,23,104,23
1515,167,357,357
1516,681,325,325
1517,159,559,159
1518,357,94,94
1519,652,381,381
1520,220,176,176
1521,114,660,660
1522,580,6,6
1523,59,159,59
1524,379,644,644
1525,86,574,574
1526,597,698,597
1527,710,540,540
1528,104,483,483
1529,642,380,380
1530,18,573,573
1531,139,116,116
1532,38,280,38
1533,257,445,445
1534,298,357,357
1535,275,299,275
1536,167,116,116
1537,709,73,73
1538,235,120,120
1539,180,646,646
1540,656,660,660
1541,717,271,717
1542,437,621,621
1543,378,417,417
1544,160,62,160
1545,616,293,293
1546,69,405,405
1547,659,254,254
1548,562,502,502
1549,102,178,178
1550,200,118,200
1551,141,359,359
1552,267,594,594
1553,577,548,548
1554,642,669,642
1555,203,248,248
1556,479,34,479
1557,266,177,177
1558,487,164,164
1559,447,378,447
1560,431,384,384
1561,469,574,469
1562,100,355,100
1563,69,198,198
1564,223,524,223
1565,97,25,25
1566,326,79,326
1567,140,149,149
1568,647,190,647
1569,368,457,457
1570,207,634,207
1571,352,49,49
1572,48,564,48
1573,337,470,470
1574,388,438,388
1575,404,546,546
1576,454,265,454
1577,549,656,549
1578,49,83,49
1579,479,602,479
1580,710,674,710
1581,436,553,553
1582,205,246,246
1583,482,448,482
1584,426,262,426
1585,11,286,286
1586,573,213,573
1587,162,18,18
1588,445,385,445
1589,453,89,89
1590,696,712,696
1591,267,334,334
1592,596,246,246
1593,504,313,313
1594,626,565,626
1595,224,45,45
1596,2,500,500
1597,401,161,401
1598,325,386,386
1599,521,257,521
1600,463,80,463
1601,135,256,135
1602,342,615,615
1603,149,472,472
1604,181,306,306
1605,669,448,448
1606,147,183,147
1607,580,504,580
1608,113,510,510
1609,450,337,337
1610,76,375,375
1611,268,113,268
1612,592,413,592
1613,407,281,407
1614,156,238,156
1615,25,488,25
1616,296,407,407
1617,52,124,124
1618,479,145,145
1619,191,44,44
1620,397,561,561
1621,150,626,150
1622,504,714,714
1623,544,648,648
1624,479,248,479
1625,408,80,408
1626,260,281,260
1627,710,227,227
1628,668,661,668
1629,696,156,156
1630,619,435,435
1631,615,670,615
1632,266,540,540
1633,596,75,75
1634,599,260,260
1635,707,557,707
1636,142,345,142
1637,641,557,641
1638,439,625,625
1639,21,300,21
1640,619,584,584
1641,639,127,639
1642,131,36,36
1643,202,219,202
1644,289,611,289
1645,250,212,250
1646,178,194,178
1647,279,241,241
1648,227,531,227
1649,510,18,18
1650,415,3,3
1651,307,674,307
1652,369,214,214
1653,319,597,319
1654,65,12,65
1655,721,336,721
1656,287,429,429
1657,56,422,56
1658,689,138,689
1659,298,6,6
1660,715,116,715
1661,708,574,574
